1,Ali Ahmed,2001,3A,15.50,12.00,14.00,16.50,14.20,1
6,Haddad Amine,2001,3A,14.00,13.00,15.00,16.00,14.80,1
11,Belarbi Malek,1998,3B,15.00,14.00,12.50,13.00,14.10,1
13,Amrani Samira,2001,3A,13.50,12.00,11.00,14.00,12.90,1
16,Boukhelfa Adam,2002,1C,11.00,10.50,12.00,10.00,10.80,1
22,Chikhi Reda,1999,1B,10.50,9.00,8.00,12.00,10.30,1
25,Nezzar Fouad,2001,2A,15.00,14.50,13.00,14.00,14.30,1
30,Selmani Hiba,1998,1B,9.00,8.50,10.00,9.50,9.10,1
34,Mekki Soraya,2001,2B,15.00,14.50,13.00,16.00,14.60,1
125,ACHRAF NA9CH,2006,A3,1.00,1.00,1.00,17.00,6.71,1
